Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
942,YK-L102-PBE-DO,,,,,,,,YK,27,13
943,YK-L102-RGE-DO,,,,,,,,YK,27,14
944,YK-L102-WGE-DO,,,,,,,,YK,27,15
945,YK-L14-PBE-DO,,,,,,,,YK,28,0
946,YK-L14-RGE-DO,,,,,,,,YK,28,1
947,YK-L14-WGE-DO,,,,,,,,YK,28,2
948,YK-L54-PBE-DO,,,,,,,,YK,28,3
949,YK-L54-RGE-DO,,,,,,,,YK,28,4
950,YK-L54-WGE-DO,,,,,,,,YK,28,5
951,YK-L13A-PBE-DO,,,,,,,,YK,28,6
952,YK-L13A-RGE-DO,,,,,,,,YK,28,7
953,YK-L13A-WGE-DO,,,,,,,,YK,28,8
954,YK-L13B-PBE-DO,,,,,,,,YK,28,9
955,YK-L13B-RGE-DO,,,,,,,,YK,28,10
956,YK-L13B-WGE-DO,,,,,,,,YK,28,11
957,YK-L53A-PBE-DO,,,,,,,,YK,28,12
958,YK-L53A-RGE-DO,,,,,,,,YK,28,13
959,YK-L53A-WGE-DO,,,,,,,,YK,28,14
960,YK-L53B-PBE-DO,,,,,,,,YK,28,15
961,YK-L53B-RGE-DO,,,,,,,,YK,29,0
962,YK-L53B-WGE-DO,,,,,,,,YK,29,1
963,YK-L24-PBE-DO,,,,,,,,YK,29,2
964,YK-L24-RGE-DO,,,,,,,,YK,29,3
965,YK-L24-WGE-DO,,,,,,,,YK,29,4
966,YK-L44-PBE-DO,,,,,,,,YK,29,5
967,YK-L44-RGE-DO,,,,,,,,YK,29,6
968,YK-L44-WGE-DO,,,,,,,,YK,29,7
969,YK-L64-PBE-DO,,,,,,,,YK,29,8
970,YK-L64-RGE-DO,,,,,,,,YK,29,9
971,YK-L64-WGE-DO,,,,,,,,YK,29,10
972,YK-L84-PBE-DO,,,,,,,,YK,29,11
973,YK-L84-RGE-DO,,,,,,,,YK,29,12
974,YK-L84-WGE-DO,,,,,,,,YK,29,13
975,YK-X20-PBE-DO,,,,,,,,YK,29,14
976,YK-X30-PBE-DO,,,,,,,,YK,29,15
977,YK-X32-PBE-DO,,,,,,,,YK,30,0
978,YK-X40-PBE-DO,,,,,,,,YK,30,1
979,YK-X80-PBE-DO,,,,,,,,YK,30,2
980,YK-X100-PBE-DO,,,,,,,,YK,30,3
981,YK-X102-PBE-DO,,,,,,,,YK,30,4
982,YK-X14-PBE-DO,,,,,,,,YK,30,5
983,YK-X54-PBE-DO,,,,,,,,YK,30,6
984,YK-X24-PBE-DO,,,,,,,,YK,30,7
985,YK-X44-PBE-DO,,,,,,,,YK,30,8
986,YK-X64-PBE-DO,,,,,,,,YK,30,9
987,YK-X84-PBE-DO,,,,,,,,YK,30,10
988,YK-MJ10-CGE-DO,,,,,,,,YK,30,11
989,YK-W11A-BE-DO,,,,,,,,YK,30,12
990,YK-W11A-LE-DO,,,,,,,,YK,30,13
991,YK-W11A-NWE-DO,,,,,,,,YK,30,14
992,YK-W11A-NWTE-DO,,,,,,,,YK,30,15
993,YK-W11A-NTE-DO,,,,,,,,YK,31,0
994,YK-W11A-NRE-DO,,,,,,,,YK,31,1
995,YK-W11A-RWE-DO,,,,,,,,YK,31,2
996,YK-W11A-RWTE-DO,,,,,,,,YK,31,3
997,YK-W11A-RTE-DO,,,,,,,,YK,31,4
